id,filename,category,title,summary,word_count
HC-001,001-how-do-i-return-an-item.html,Returns,How do I return an item?,Learn how to start a return for eligible smart home products.,514
HC-002,002-what-is-the-return-window-for-smart-appliances.html,Returns,What is the return window for smart appliances?,Understand the standard return period and when it begins.,510
HC-003,003-can-i-return-a-smart-speaker-after-opening-the-box.html,Returns,Can I return a smart speaker after opening the box?,Rules for opened smart speakers and accessory packaging.,507
HC-004,004-can-i-return-a-smart-display-if-i-connected-it-to-wi-fi.html,Returns,Can I return a smart display if I connected it to Wi-Fi?,Guidance for smart displays that have already been activated.,506
HC-005,005-can-i-return-a-smart-thermostat-after-installation.html,Returns,Can I return a smart thermostat after installation?,Return requirements for installed thermostats.,502
HC-006,006-can-i-return-a-smart-doorbell-after-mounting-it.html,Returns,Can I return a smart doorbell after mounting it?,Return rules for mounted smart doorbells.,503
HC-007,007-can-i-return-a-smart-camera-after-testing-it.html,Returns,Can I return a smart camera after testing it?,"How testing, activation, and missing mounts affect camera returns.",506
HC-008,008-can-i-return-a-smart-lock-after-installation.html,Returns,Can I return a smart lock after installation?,What to do before returning an installed smart lock.,506
HC-009,009-can-i-return-a-smart-plug-that-has-been-used.html,Returns,Can I return a smart plug that has been used?,Eligibility for used smart plugs and small accessories.,505
HC-010,010-can-i-return-smart-lighting-after-pairing-it-with-the-app.html,Returns,Can I return smart lighting after pairing it with the app?,"Returns for bulbs, strips, switches, and lighting kits.",505
HC-011,011-can-i-return-a-robot-vacuum-after-using-it.html,Returns,Can I return a robot vacuum after using it?,"Return steps for robot vacuums, docks, filters, and brushes.",506
HC-012,012-can-i-return-an-air-purifier-after-using-the-filter.html,Returns,Can I return an air purifier after using the filter?,How filter use affects air purifier returns.,504
HC-013,013-can-i-return-a-security-system-kit.html,Returns,Can I return a security system kit?,"Rules for returning bundled alarms, sensors, cameras, and hubs.",506
HC-014,014-can-i-return-a-streaming-device-after-activation.html,Returns,Can I return a streaming device after activation?,"Activation, reset, and account removal requirements.",503
HC-015,015-can-i-return-a-smart-tv.html,Returns,Can I return a Smart TV?,"Return requirements for TVs, screens, stands, and remotes.",505
HC-016,016-can-i-return-a-home-hub.html,Returns,Can I return a home hub?,"Home hub returns, reset steps, and accessory requirements.",505
HC-017,017-can-i-return-smart-sensors.html,Returns,Can I return smart sensors?,"Guidance for contact, motion, leak, temperature, and presence sensors.",506
HC-018,018-how-do-i-package-a-return-safely.html,Returns,How do I package a return safely?,Packaging guidance to avoid damage during transit.,504
HC-019,019-do-i-need-the-original-packaging-to-return-an-item.html,Returns,Do I need the original packaging to return an item?,What to include if the retail box is missing.,506
